Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol
Lufthansa,9:00 AM,11:10 PM,€232,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,9:00 AM,11:10 PM,€232,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,9:00 AM,11:10 PM,€232,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,12:10 PM,11:10 PM,€232,12 hr,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,12:10 PM,11:10 PM,€232,12 hr,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,12:10 PM,11:10 PM,€232,12 hr,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,2:30 PM,11:10 PM,€232,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,2:30 PM,11:10 PM,€232,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,2:30 PM,11:10 PM,€232,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-17
ITA,6:10 AM,9:35 AM+1,€240,28 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,3:50 PM,€268,10 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,3:50 PM,€268,10 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,11:10 PM,€268,17 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,11:10 PM,€268,17 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,9:00 AM,11:10 PM,€268,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,12:10 PM,11:10 PM,€268,12 hr,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,2:30 PM,11:10 PM,€268,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-17
ITA,10:45 AM,9:35 AM+1,€289,23 hr 50 min,ORYParis-Orly Airport,2024-09-17
ITA,10:45 AM,9:35 AM+1,€289,23 hr 50 min,ORYParis-Orly Airport,2024-09-17
