Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol
LufthansaOperated by Lufthansa CityLine,7:45 PM,10:45 AM+1,€290,16 hr,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,7:05 PM,9:35 AM+1,€290,15 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,7:05 PM,5:10 PM+1,€290,23 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,7:05 PM,5:10 PM+1,€290,23 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,7:05 PM,5:10 PM+1,€290,23 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,7:05 PM,5:10 PM+1,€290,23 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,7:05 PM,5:10 PM+1,€290,23 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,7:05 PM,5:10 PM+1,€290,23 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,7:05 PM,5:10 PM+1,€290,23 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,7:05 PM,5:10 PM+1,€290,23 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,1:55 PM,9:35 AM+1,€290,20 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
Royal Air Maroc,9:15 AM,4:55 PM,€312,8 hr 40 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,9:15 AM,10:50 AM+1,€312,26 hr 35 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,1:15 PM,10:50 AM+1,€312,22 hr 35 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,1:15 PM,4:55 PM+1,€312,28 hr 40 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,3:10 PM,10:50 AM+1,€312,20 hr 40 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,3:10 PM,4:55 PM+1,€312,26 hr 45 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,5:30 PM,10:50 AM+1,€312,18 hr 20 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,5:30 PM,4:55 PM+1,€312,24 hr 25 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,7:15 PM,10:50 AM+1,€312,16 hr 35 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,7:15 PM,4:55 PM+1,€312,22 hr 40 min,ORYParis-Orly Airport,2024-09-19
Lufthansa,6:45 AM,4:05 PM,€314,10 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,6:45 AM,4:05 PM,€314,10 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,9:00 AM,4:05 PM,€314,8 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,9:00 AM,11:10 PM,€314,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,9:00 AM,11:10 PM,€314,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,9:00 AM,11:10 PM,€314,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,9:00 AM,11:10 PM,€314,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,2:30 PM,11:10 PM,€314,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,2:30 PM,11:10 PM,€314,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,2:30 PM,11:10 PM,€314,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,2:30 PM,11:10 PM,€314,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
Royal Air Maroc,6:30 PM,10:50 AM+1,€315,17 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-19
Royal Air Maroc,6:30 PM,4:55 PM+1,€315,23 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,10:50 AM,9:35 AM+1,€319,23 hr 45 min,ORYParis-Orly Airport,2024-09-19
"Austrian, ITA",3:55 PM,9:35 AM+1,€322,18 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Austrian, ITA",8:15 PM,9:35 AM+1,€322,14 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,11:40 AM,9:35 AM+1,€322,22 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Air France Smart Connect. Learn moreAir France, Transavia",4:55 PM,7:30 AM+1,€332,15 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-19
ITA,10:50 AM,5:10 PM+1,€333,31 hr 20 min,ORYParis-Orly Airport,2024-09-19
ITA,10:50 AM,9:35 AM+1,€349,23 hr 45 min,ORYParis-Orly Airport,2024-09-19
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Air France Smart Connect. Learn moreAir France, Transavia",1:20 PM,7:30 AM+1,€349,19 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Tunisair, Tunisair Express",7:45 PM,9:45 AM+1,€351,15 hr,ORYParis-Orly Airport,2024-09-19
"Tunisair, Tunisair Express",7:45 PM,5:45 PM+1,€351,23 hr,ORYParis-Orly Airport,2024-09-19
"Tunisair, Tunisair Express",7:45 PM,9:15 PM+1,€351,26 hr 30 min,ORYParis-Orly Airport,2024-09-19
"Austrian, ITA",5:55 PM,9:35 AM+1,€354,16 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Brussels Airlines, ITA",8:30 AM,9:35 AM+1,€354,26 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Brussels Airlines, ITA",9:55 AM,9:35 AM+1,€354,24 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Royal Air MarocOperated by Heston Airlines Uab, Ram Express",12:35 PM,10:50 AM+1,€375,23 hr 15 min,ORYParis-Orly Airport,2024-09-19
Royal Air MarocOperated by Heston Airlines Uab,12:35 PM,10:50 AM+1,€375,23 hr 15 min,ORYParis-Orly Airport,2024-09-19
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Air France Smart Connect. Learn moreAir France, Transavia",8:30 AM,7:30 AM+1,€375,24 hr,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,2:30 PM,10:45 AM+1,€387,21 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-19
Royal Air MarocOperated by Heston Airlines Uab,9:20 PM,4:55 PM+1,€391,20 hr 35 min,ORYParis-Orly Airport,2024-09-19
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Air France Smart Connect. Learn moreAir France, Transavia",12:50 PM,7:30 AM+1,€391,19 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,2:30 PM,10:45 AM+1,€403,21 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,2:30 PM,10:45 AM+1,€403,21 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,2:30 PM,10:45 AM+1,€403,21 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-19
Royal Air Maroc,7:30 AM,4:55 PM,€406,10 hr 25 min,ORYParis-Orly Airport,2024-09-19
Royal Air MarocOperated by Ram Express,1:00 PM,10:50 AM+1,€430,22 hr 50 min,ORYParis-Orly Airport,2024-09-19
Royal Air Maroc,1:00 PM,10:50 AM+1,€430,22 hr 50 min,ORYParis-Orly Airport,2024-09-19
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Air France Smart Connect. Learn moreAir France, Transavia",9:20 PM,7:30 AM+1,€476,11 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19
Lufthansa,6:30 PM,11:10 PM,€487,5 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-19
EgyptAir,3:50 PM,10:00 AM+1,€518,19 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19
Turkish Airlines,7:20 AM,4:15 PM,€554,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-19
Turkish Airlines,7:20 AM,10:40 PM,€554,16 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-19
Turkish Airlines,11:05 AM,10:40 PM,€554,12 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-19
Turkish Airlines,12:05 PM,10:40 PM,€554,11 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-19
Turkish Airlines,2:10 PM,10:40 PM,€554,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-19
Turkish Airlines,4:05 PM,10:40 PM,€554,7 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Brussels Airlines, Lufthansa",8:30 AM,4:05 PM,€560,8 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-19
Turkish Airlines,5:55 PM,9:05 AM+1,€564,16 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19
Turkish Airlines,7:50 PM,9:05 AM+1,€564,14 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Air France, Air Europa",2:50 PM,12:50 AM+1,€568,11 hr,CDGParis Charles de Gaulle Airport,2024-09-19
"Air France, Air Europa",7:05 AM,12:50 AM+1,€577,18 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Air France, Air Europa",1:30 PM,12:50 AM+1,€628,12 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Air France, Air Europa",5:05 PM,12:50 AM+1,€628,8 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-19
"Air France, Air Europa",9:20 AM,12:50 AM+1,€637,16 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-19
