Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol,Compagnie_code,weekend_verif
AIR ALGERIE,8:10 PM,6:10 PM+1,933.0,23 hr,ORYParis-Orly Airport,2024-09-08,1,True
AIR ALGERIE,8:10 PM,8:30 AM+2,933.0,37 hr 20 min,ORYParis-Orly Airport,2024-09-14,1,True
AIR ALGERIE,8:10 PM,8:30 AM+1,933.0,13 hr 20 min,ORYParis-Orly Airport,2024-09-08,1,True
AIR ALGERIE,4:55 PM,8:30 AM+1,933.0,16 hr 35 min,ORYParis-Orly Airport,2024-09-08,1,True
AIR ALGERIE,2:00 PM,6:10 PM+1,933.0,29 hr 10 min,ORYParis-Orly Airport,2024-09-08,1,True
AIR ALGERIE,8:10 PM,9:25 AM+1,933.0,14 hr 15 min,ORYParis-Orly Airport,2024-09-10,1,False
AIR ALGERIE,7:40 AM,6:10 PM+1,933.0,35 hr 30 min,ORYParis-Orly Airport,2024-09-08,1,True
AIR ALGERIE,7:40 AM,8:30 AM+1,933.0,25 hr 50 min,ORYParis-Orly Airport,2024-09-08,1,True
AIR ALGERIE,2:00 PM,8:30 AM+1,933.0,19 hr 30 min,ORYParis-Orly Airport,2024-09-14,1,True
AIR ALGERIE,7:40 AM,8:30 AM+1,933.0,25 hr 50 min,ORYParis-Orly Airport,2024-09-14,1,True
AIR ALGERIE,8:10 PM,8:30 AM+1,933.0,13 hr 20 min,ORYParis-Orly Airport,2024-09-11,1,False
AIR ALGERIE,4:55 PM,6:10 PM+1,933.0,26 hr 15 min,ORYParis-Orly Airport,2024-09-08,1,True
AIR ALGERIE,2:00 PM,9:25 AM+1,933.0,20 hr 25 min,ORYParis-Orly Airport,2024-09-10,1,False
AIR ALGERIE,3:30 PM,8:30 AM+1,936.0,18 hr,CDGParis Charles de Gaulle Airport,2024-09-04,1,False
AIR ALGERIE,9:40 PM,8:30 AM+1,936.0,11 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-04,1,False
AIR ALGERIE,9:40 PM,6:55 PM+1,936.0,22 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-05,1,False
AIR ALGERIE,6:00 PM,6:55 PM+1,936.0,25 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-05,1,False
AIR ALGERIE,12:15 PM,6:40 PM,936.0,7 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-04,1,False
AIR ALGERIE,9:00 AM,6:40 PM,936.0,10 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-04,1,False
AIR ALGERIE,1:15 PM,9:25 AM+1,936.0,21 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-10,1,False
AIR ALGERIE,6:00 PM,8:30 AM+1,936.0,15 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-11,1,False
AIR ALGERIE,12:15 PM,6:10 PM,936.0,6 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-17,1,False
AIR ALGERIE,9:00 AM,6:10 PM,936.0,10 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-17,1,False
AIR ALGERIE,3:30 PM,8:30 AM+1,936.0,18 hr,CDGParis Charles de Gaulle Airport,2024-09-15,1,True
AIR ALGERIE,9:40 PM,9:25 AM+1,936.0,12 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-10,1,False
AIR ALGERIE,6:00 PM,9:25 AM+1,936.0,16 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-10,1,False
AIR ALGERIE,12:15 PM,9:25 AM+1,936.0,22 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-10,1,False
AIR ALGERIE,6:00 PM,8:30 AM+1,936.0,15 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-14,1,True
AIR ALGERIE,6:00 PM,8:30 AM+1,936.0,15 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-15,1,True
AIR ALGERIE,9:40 PM,8:30 AM+1,936.0,11 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-08,1,True
AIR ALGERIE,6:00 PM,8:30 AM+1,936.0,15 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-08,1,True
AIR ALGERIE,9:40 PM,8:30 AM+1,936.0,11 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-15,1,True
